Ticker,Date,Open,High,Low,Close,Volume
AAPL,2025-06-02,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300
META,2025-06-02,644.3900146484375,673.260009765625,644.260009765625,670.9000244140625,15766300
NVDA,2025-06-02,135.49000549316406,138.1199951171875,135.39999389648438,137.3800048828125,197663100
TSLA,2025-06-02,343.5,348.0199890136719,333.3299865722656,342.69000244140625,81873800
AAPL,2025-06-03,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,46381600
META,2025-06-03,671.4500122070312,675.5800170898438,665.030029296875,666.8499755859375,11585000
NVDA,2025-06-03,138.77999877929688,142.0,137.9499969482422,141.22000122070312,225578800
TSLA,2025-06-03,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,99324500
AAPL,2025-06-04,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,43604000
META,2025-06-04,669.3200073242188,689.0,668.5700073242188,687.9500122070312,14031900
NVDA,2025-06-04,142.19000244140625,142.38999938964844,139.5399932861328,141.9199981689453,167120800
TSLA,2025-06-04,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,98912100
AAPL,2025-06-05,203.5,204.75,200.14999389648438,200.6300048828125,55126100
META,2025-06-05,691.6599731445312,694.3800048828125,682.25,684.6199951171875,13083100
NVDA,2025-06-05,142.1699981689453,144.0,138.8300018310547,139.99000549316406,231397900
TSLA,2025-06-05,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,287499800
AAPL,2025-06-06,203.0,205.6999969482422,202.0500030517578,203.9199981689453,46607700
META,2025-06-06,696.1699829101562,702.8099975585938,691.8699951171875,697.7100219726562,11728000
NVDA,2025-06-06,142.50999450683594,143.27000427246094,141.50999450683594,141.72000122070312,153986200
TSLA,2025-06-06,298.8299865722656,305.5,291.1400146484375,295.1400146484375,164747700
AAPL,2025-06-09,204.38999938964844,206.0,200.02000427246094,201.4499969482422,72862600
META,2025-06-09,698.4600219726562,705.1900024414062,693.9400024414062,694.0599975585938,12773200
NVDA,2025-06-09,143.19000244140625,145.0,141.94000244140625,142.6300048828125,185114500
TSLA,2025-06-09,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,140908900
AAPL,2025-06-10,200.60000610351562,204.35000610351562,200.57000732421875,202.6699981689453,54672600
META,2025-06-10,701.3499755859375,703.22998046875,691.5599975585938,702.4000244140625,10850100
NVDA,2025-06-10,142.69000244140625,144.2899932861328,141.52999877929688,143.9600067138672,155881900
TSLA,2025-06-10,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,151256500
AAPL,2025-06-11,203.5,204.5,198.41000366210938,198.77999877929688,60989900
META,2025-06-11,703.7100219726562,708.8699951171875,691.989990234375,694.1400146484375,9582500
NVDA,2025-06-11,144.61000061035156,144.99000549316406,141.8699951171875,142.8300018310547,167694000
TSLA,2025-06-11,334.3999938964844,335.5,322.5,326.42999267578125,122611400
AAPL,2025-06-12,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,43904600
META,2025-06-12,693.2999877929688,695.3800048828125,687.0,693.3599853515625,7322700
NVDA,2025-06-12,141.97000122070312,145.0,141.85000610351562,145.0,162365000
TSLA,2025-06-12,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,105127500
AAPL,2025-06-13,199.72999572753906,200.3699951171875,195.6999969482422,196.4499969482422,51447300
META,2025-06-13,687.9500122070312,694.5700073242188,681.010009765625,682.8699951171875,9274400
NVDA,2025-06-13,142.47999572753906,143.5800018310547,140.85000610351562,141.97000122070312,180820600
TSLA,2025-06-13,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,128964300
AAPL,2025-06-16,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,43020700
META,2025-06-16,699.3300170898438,707.1500244140625,693.510009765625,702.1199951171875,13720300
NVDA,2025-06-16,143.35000610351562,146.17999267578125,143.1999969482422,144.69000244140625,183133700
TSLA,2025-06-16,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,83925900
AAPL,2025-06-17,197.1999969482422,198.38999938964844,195.2100067138672,195.63999938964844,38856200
META,2025-06-17,702.0,705.969970703125,696.0599975585938,697.22998046875,10066100
NVDA,2025-06-17,144.49000549316406,145.22000122070312,143.77999877929688,144.1199951171875,139108000
TSLA,2025-06-17,326.0899963378906,327.260009765625,314.739990234375,316.3500061035156,88282700
AAPL,2025-06-18,195.94000244140625,197.57000732421875,195.07000732421875,196.5800018310547,45394700
META,2025-06-18,698.1799926757812,701.5900268554688,694.9000244140625,695.77001953125,10068300
NVDA,2025-06-18,144.00999450683594,145.64999389648438,143.1199951171875,145.47999572753906,161494100
TSLA,2025-06-18,317.30999755859375,329.32000732421875,315.45001220703125,322.04998779296875,95137700
AAPL,2025-06-20,198.24000549316406,201.6999969482422,196.86000061035156,201.0,96813500
META,2025-06-20,700.75,701.8200073242188,678.6699829101562,682.3499755859375,22538600
NVDA,2025-06-20,145.4499969482422,146.1999969482422,142.64999389648438,143.85000610351562,242956200
TSLA,2025-06-20,327.95001220703125,332.3599853515625,317.7799987792969,322.1600036621094,108688000
AAPL,2025-06-23,201.6300048828125,202.3000030517578,198.9600067138672,201.5,55814300
META,2025-06-23,683.6900024414062,699.0499877929688,678.75,698.530029296875,11080100
NVDA,2025-06-23,142.5,144.77999877929688,142.02999877929688,144.1699981689453,154308900
TSLA,2025-06-23,327.5400085449219,357.5400085449219,327.4800109863281,348.67999267578125,190716800
AAPL,2025-06-24,202.58999633789062,203.44000244140625,200.1999969482422,200.3000030517578,54064000
META,2025-06-24,704.8900146484375,713.1900024414062,702.1099853515625,712.2000122070312,13823200
NVDA,2025-06-24,145.55999755859375,147.9600067138672,145.5,147.89999389648438,187566100
TSLA,2025-06-24,356.1700134277344,356.260009765625,340.44000244140625,340.4700012207031,114736200
AAPL,2025-06-25,201.4499969482422,203.6699981689453,200.6199951171875,201.55999755859375,39525700
META,2025-06-25,713.3200073242188,716.5800170898438,705.3800048828125,708.6799926757812,9320400
NVDA,2025-06-25,149.27000427246094,154.4499969482422,149.25999450683594,154.30999755859375,269146500
TSLA,2025-06-25,342.70001220703125,343.0,320.3999938964844,327.54998779296875,119845100
AAPL,2025-06-26,201.42999267578125,202.63999938964844,199.4600067138672,201.0,50799100
META,2025-06-26,714.3599853515625,728.219970703125,711.0499877929688,726.0900268554688,13964800
NVDA,2025-06-26,155.97999572753906,156.72000122070312,154.0,155.02000427246094,198145700
TSLA,2025-06-26,324.6099853515625,331.04998779296875,323.6099853515625,325.7799987792969,80440900
AAPL,2025-06-27,201.88999938964844,203.22000122070312,200.0,201.0800018310547,73188600
META,2025-06-27,726.52001953125,735.4299926757812,725.8599853515625,733.6300048828125,18775700
NVDA,2025-06-27,156.0399932861328,158.7100067138672,155.25999450683594,157.75,263234500
TSLA,2025-06-27,324.510009765625,329.3399963378906,317.5,323.6300048828125,89067000
AAPL,2025-06-30,202.00999450683594,207.38999938964844,199.25999450683594,205.1699981689453,91912800
META,2025-06-30,744.5499877929688,747.9000244140625,734.25,738.0900268554688,15402100
NVDA,2025-06-30,158.39999389648438,158.66000366210938,155.9600067138672,157.99000549316406,194580300
TSLA,2025-06-30,319.8999938964844,325.5799865722656,316.6000061035156,317.6600036621094,76695100
AAPL,2025-07-01,206.6699981689453,210.19000244140625,206.13999938964844,207.82000732421875,78788900
META,2025-07-01,736.8800048828125,737.75,715.3699951171875,719.219970703125,13431200
NVDA,2025-07-01,156.2899932861328,157.1999969482422,151.49000549316406,153.3000030517578,213143600
TSLA,2025-07-01,298.4599914550781,305.8900146484375,293.2099914550781,300.7099914550781,145085700
AAPL,2025-07-02,208.91000366210938,213.33999633789062,208.13999938964844,212.44000244140625,67941800
META,2025-07-02,715.3300170898438,720.2999877929688,712.7999877929688,713.5700073242188,9336700
NVDA,2025-07-02,152.97999572753906,157.60000610351562,152.97000122070312,157.25,171224100
TSLA,2025-07-02,312.6300048828125,316.8299865722656,303.82000732421875,315.6499938964844,119483700
AAPL,2025-07-03,212.14999389648438,214.64999389648438,211.80999755859375,213.5500030517578,34955800
META,2025-07-03,726.6099853515625,729.030029296875,714.4199829101562,719.010009765625,8601700
NVDA,2025-07-03,158.3699951171875,160.97999572753906,157.77000427246094,159.33999633789062,143716100
TSLA,2025-07-03,317.989990234375,318.45001220703125,312.760009765625,315.3500061035156,58042300
AAPL,2025-07-07,212.67999267578125,216.22999572753906,208.8000030517578,209.9499969482422,50229000
META,2025-07-07,717.5999755859375,727.0,713.510009765625,718.3499755859375,9457100
NVDA,2025-07-07,158.1999969482422,159.30999755859375,157.33999633789062,158.24000549316406,140139000
TSLA,2025-07-07,291.3699951171875,296.1499938964844,288.7699890136719,293.94000244140625,131177900
